Nuclide,Isomeric,Z,Jp,DecayMode,BranchRatio,Ex_MeV,Q_MeV,Status,Hf_inequality,Hf,Hf_err_u,Hf_err_d,Hf_unit,Abundance_per,Abundance_err_per,Mass,Mass_err,IfSystematics,HalfLife_sec
17Ne,,10,1/2-,EP,100.00,0,13.909,unstable,EQUAL,109.2,0.6,0.6,MS,,,16.5,0,,1.09E-01
17Ne,,10,1/2-,EA,,0,8.71,unstable,EQUAL,109.2,0.6,0.6,MS,,,16.5,0,,1.09E-01
18Ne,,10,0+,EC,100.00,0,4.443,unstable,EQUAL,1.6670,1.7e-15,1.7e-15,S,,,5.317,0,,1.67E+00
19Ne,,10,1/2+,EC,100.00,0,3.239,unstable,EQUAL,17.22,0.02,0.02,S,,,1.752,0,,1.72E+01
20Ne,,10,0+,,,0,0,stable,,,,,,90.48,0.03,-7.0419,0,,0.00E+00
20Ne,M,10,3-,A,93.00,5.6214,0.891,unstable,EQUAL,139,35,35,FS,,,-1.4205,0,,1.39E-13
20Ne,M,10,3-,IT,7.00,5.6214,5.621,unstable,EQUAL,139,35,35,FS,,,-1.4205,0,,1.39E-13
21Ne,,10,3/2+,,,0,0,stable,,,,,,0.27,0.01,-5.731,0,,0.00E+00
22Ne,,10,0+,,,0,0,stable,,,,,,9.25,0.03,-8.024,0,,0.00E+00
23Ne,,10,5/2+,B-,100.00,0,4.376,unstable,EQUAL,37.24,1.2e-14,1.2e-14,S,,,-5.154,0,,3.72E+01
24Ne,,10,0+,B-,100.00,0,2.467,unstable,EQUAL,3.38,0.02,0.02,M,,,-5.951,0,,2.03E+02
